"","x"
"1","Attended.local.Perl.Mongers"
"2","Attended.Perl.Mongers..non.local."
"3","Attended.local.conference"
"4","Attended.conference..non.local."
"5","CPAN.modules.maintained"
"6","Contributed.to.CPAN"
"7","Contributed.to.Perl.5"
"8","Contributed.to.Perl.6"
"9","Contributed.to.other.projects"
"10","Contributed.to.websites"
"11","Country.of.birth"
"12","Country.of.residence"
"13","Date.survey.completed"
"14","ID"
"15","Income"
"16","Industry..advertising.marketing.public.relations"
"17","Industry..agriculture.forestry.fishing"
"18","Industry..architectural.services"
"19","Industry..automotive"
"20","Industry..computers...hardware"
"21","Industry..computers...services"
"22","Industry..computers...software"
"23","Industry..construction.mining"
"24","Industry..consulting.services"
"25","Industry..consumer.products"
"26","Industry..creative.design"
"27","Industry..customer.service"
"28","Industry..education"
"29","Industry..electronics"
"30","Industry..energy.utilities"
"31","Industry..engineering"
"32","Industry..entertainment"
"33","Industry..environmental"
"34","Industry..financial"
"35","Industry..government"
"36","Industry..hospitality.tourism"
"37","Industry..human.resources"
"38","Industry..insurance"
"39","Industry..internet"
"40","Industry..legal"
"41","Industry..manufacturing"
"42","Industry..medical.healthcare"
"43","Industry..military"
"44","Industry..nonprofit"
"45","Industry..other"
"46","Industry..publishing"
"47","Industry..real.estate"
"48","Industry..retail"
"49","Industry..science"
"50","Industry..sports.and.recreation"
"51","Industry..telecommunications"
"52","Industry..textiles"
"53","Industry..transportation"
"54","Led.other.projects"
"55","Programming."
"56","Programming...f.lex"
"57","Programming...net"
"58","Programming..1c"
"59","Programming..4d"
"60","Programming..4gl"
"61","Programming..4th.dimension"
"62","Programming..ab.initio"
"63","Programming..abap"
"64","Programming..action."
"65","Programming..actor"
"66","Programming..adobe.flex"
"67","Programming..advanced.revelation.open.insight"
"68","Programming..aid"
"69","Programming..aldor"
"70","Programming..algol"
"71","Programming..algol.60"
"72","Programming..algol.60.1"
"73","Programming..algol.68"
"74","Programming..amos"
"75","Programming..ampl"
"76","Programming..ansys.apdl"
"77","Programming..ant"
"78","Programming..apl"
"79","Programming..apple.hypertalk"
"80","Programming..applicationmaster"
"81","Programming..arabic"
"82","Programming..arexx"
"83","Programming..arl"
"84","Programming..asp"
"85","Programming..assembler"
"86","Programming..assembly"
"87","Programming..atlas"
"88","Programming..autoit"
"89","Programming..autoit.v3"
"90","Programming..awk"
"91","Programming..axiom.xl"
"92","Programming..b"
"93","Programming..b.bcpl"
"94","Programming..bash"
"95","Programming..basic"
"96","Programming..bcpl"
"97","Programming..bcpl."
"98","Programming..beanshell"
"99","Programming..befunge"
"100","Programming..bourne.shell"
"101","Programming..bpm"
"102","Programming..brainfuck"
"103","Programming..breeve"
"104","Programming..bst"
"105","Programming..c"
"106","Programming..c."
"107","Programming..c.."
"108","Programming..ca.ideal"
"109","Programming..ca.clipper"
"110","Programming..ca.vo"
"111","Programming..cache.objectscript"
"112","Programming..caml"
"113","Programming..cgi"
"114","Programming..cheshire"
"115","Programming..cl"
"116","Programming..clarion"
"117","Programming..clip"
"118","Programming..clipper"
"119","Programming..clipper.87"
"120","Programming..clist"
"121","Programming..cobol"
"122","Programming..comal"
"123","Programming..commodore.basic"
"124","Programming..context.free"
"125","Programming..coral"
"126","Programming..csh"
"127","Programming..csound"
"128","Programming..css"
"129","Programming..ct"
"130","Programming..cyclone"
"131","Programming..d"
"132","Programming..dataease"
"133","Programming..dataflex"
"134","Programming..dc"
"135","Programming..dec.scan"
"136","Programming..delphi"
"137","Programming..dhtml"
"138","Programming..dibol"
"139","Programming..dos.batch.files"
"140","Programming..dos.batch.script"
"141","Programming..dos.shell"
"142","Programming..drupal.form.api"
"143","Programming..dyna.c"
"144","Programming..e"
"145","Programming..easytrieve"
"146","Programming..elan"
"147","Programming..elisp"
"148","Programming..emacs.lisp"
"149","Programming..esterel"
"150","Programming..euphoria"
"151","Programming..exim"
